Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-2.4623,297.8950,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-3.3440,213.4243,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-4.7203,125.2161,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-6.5031,26.1056,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-5.7893,-72.8797,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-3.1682,-170.8289,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-1.6075,-257.1246,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-0.8208,-295.6444,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,0.2434,-313.0606,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,1.3847,-314.5632,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,2.4374,-293.7726,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,3.3323,-209.3112,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,4.7542,-124.8530,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,6.5702,-20.0143,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,5.7661,76.9020,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,3.0991,180.1475,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,1.5332,259.7351,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,0.7476,293.8696,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-0.3050,312.5912,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-1.4410,307.7112,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-2.4976,292.9650,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-3.3849,208.7009,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-4.8263,125.0095,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-6.6130,19.6293,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-5.7318,-77.6470,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-3.0557,-178.6951,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-1.5531,-258.1575,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,-0.7580,-297.3754,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,0.3064,-315.0452,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,1.4497,-311.9589,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,2.5046,-289.8599,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,3.4024,-206.3031,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,4.8992,-121.2033,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,6.6541,-18.0079,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,5.7067,79.5564,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,3.0081,176.6667,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,1.5047,261.1687,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5060,0.7216,296.3362,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-0.3483,311.3266,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-1.4839,310.3280,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-2.5215,289.0367,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-3.4141,204.5597,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-4.8860,121.0843,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-6.5489,17.0062,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-5.5829,-81.2748,NORMAL
2026-04-10,20:32:19.405,226.86,3.5410,131.02,0.0558,4.5110,-2.9555,-182.7048,NORMAL
