Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3845,6.7353,14.6054,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3845,5.8262,-75.8847,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3845,3.5145,-166.0461,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3845,1.6773,-251.3150,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3845,0.7654,-297.1719,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-0.3211,-315.5930,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-1.4598,-310.7851,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-2.3916,-296.9842,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-3.3089,-219.6126,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-5.0162,-117.8289,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-6.7842,-12.7961,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-5.8185,81.1465,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-3.4704,167.2480,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-1.6524,252.5170,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-0.7327,298.1454,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,0.3491,316.9202,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,1.4948,310.4626,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,2.5355,295.4817,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,3.3411,217.7502,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,5.0626,115.5439,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,6.7622,11.2905,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,5.7404,-81.1715,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,3.0826,-177.5901,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,1.6418,-253.8410,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,0.7270,-300.0486,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-0.3576,-314.5632,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-1.5000,-311.2984,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-2.5463,-286.4104,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-3.3448,-216.5044,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-5.1036,-113.5625,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-6.8090,-9.1996,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-5.7288,82.8368,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-3.0368,186.1230,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-1.6088,253.6438,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,-0.6932,299.5196,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,0.3925,313.9810,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,1.5302,308.9038,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,2.5746,283.7936,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,3.3811,214.2162,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,5.1511,110.9989,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,6.7770,7.1337,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,5.6445,-82.7304,NORMAL
2026-04-02,16:50:01.741,228.22,3.6109,132.24,0.0654,1.3870,2.9801,-183.9506,NORMAL
