Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,2.7276,276.9448,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,3.7172,190.2830,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,5.8005,85.0780,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,6.9303,-15.8668,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,5.1178,-106.3850,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,2.7089,-197.2163,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,1.3850,-274.8945,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3870,0.4274,-309.8210,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-0.6815,-313.2078,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-1.7920,-309.6582,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-2.6655,-277.1201,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-3.6474,-192.1986,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-5.8175,-85.2032,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-7.0844,15.2283,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-5.2251,106.3788,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-2.7627,194.2332,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-1.3533,274.2904,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-0.4001,304.9849,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,0.7004,310.6693,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,1.8183,310.4501,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,2.7064,279.3550,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,3.6925,193.3380,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,5.7492,87.0375,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,6.9285,-13.6475,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,5.1785,-103.0076,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,2.7662,-195.2286,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,1.4059,-273.5048,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,0.4582,-306.3183,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-0.6541,-311.7147,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-1.7610,-307.5328,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-2.6471,-281.3583,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-3.6106,-193.3881,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-5.7736,-87.9577,NORMAL
2026-04-02,17:08:47.906,228.66,3.6863,134.08,0.0869,1.3895,-7.0927,12.7961,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,-5.2841,104.1000,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,-2.8130,191.9889,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,-1.3728,273.1104,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,-0.4184,305.0881,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,0.6863,312.0528,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,1.7998,308.5000,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,2.6923,282.3506,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,3.6691,195.8108,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,5.7131,88.8999,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,6.9593,-10.8335,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,5.2459,-100.2249,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,2.8173,-193.2535,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,1.4196,-274.1684,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3895,0.4763,-305.9114,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-0.6257,-311.7460,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-1.7374,-308.3059,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-2.7364,-270.9099,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-3.5823,-195.7514,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-5.7202,-90.1989,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-7.1025,11.4314,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-5.3544,102.0967,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-2.5735,201.6517,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-1.3950,272.6878,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,-0.4467,305.6328,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,0.6596,310.7600,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,1.7743,311.0699,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,2.7835,272.3340,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,3.6392,196.9471,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,5.6623,92.0833,NORMAL
2026-04-02,17:08:47.906,228.61,3.6862,133.96,0.0869,1.3870,6.9589,-9.9289,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,2.3777,302.3993,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,3.3021,225.4128,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,4.9697,123.1283,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,6.7158,31.3549,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,6.3056,-59.5640,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,3.6644,-158.7371,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,1.7039,-249.1833,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,0.8037,-300.5118,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-0.1227,-313.9089,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-1.2529,-312.0591,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-2.3215,-303.6013,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-3.2273,-225.5224,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-4.9510,-124.9814,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-6.8162,-31.3361,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-6.4478,60.6408,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-3.7375,156.7995,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-1.6787,246.4695,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-0.7718,298.0953,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,0.1539,311.6396,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,1.2810,309.8617,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,2.3495,303.7766,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,3.2789,227.5476,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,4.9201,126.4619,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,6.6954,33.6618,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,6.3608,-57.1569,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,3.7271,-156.8183,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,1.7288,-246.4476,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,0.8245,-297.6978,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3870,-0.0968,-316.0312,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-1.2258,-310.9071,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-2.2947,-303.7390,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-3.1972,-227.1219,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-4.8908,-125.6293,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-6.7889,-34.6666,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-6.5105,57.1850,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-3.8111,154.3236,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-1.7012,244.8668,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-0.7955,297.3942,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,0.1287,314.5193,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,1.2526,310.1246,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,2.3298,306.2807,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,3.2571,229.2035,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,4.8590,128.7783,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,6.6539,36.9109,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,6.4009,-54.4023,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,3.7966,-155.3847,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,1.7512,-243.9121,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,0.8465,-298.0547,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3920,-0.2105,-315.0139,NORMAL
2026-04-02,17:08:47.906,228.73,3.6880,134.28,0.0869,1.3895,-1.1995,-312.7884,NORMAL
