Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-3.4501,212.9234,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-4.9223,121.9013,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-6.7452,16.7996,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-5.9449,-73.9346,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-3.2654,-175.1360,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-1.5975,-258.5112,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,-0.7867,-299.3474,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,0.3138,-316.3161,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,1.4619,-309.9462,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,2.5198,-291.2121,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,3.4238,-209.8809,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,4.9656,-121.0530,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,6.8583,-17.0907,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,6.0234,75.9348,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,3.2571,172.7102,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,1.5308,257.2873,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5010,0.7234,298.3113,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-0.3702,310.9854,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-1.5042,310.1277,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-2.5547,293.0025,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-3.4647,210.4444,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-4.9653,122.2174,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-6.7615,16.6275,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-5.8889,-76.0193,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-3.2154,-174.9044,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-1.5790,-259.7883,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,-0.7677,-302.1990,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,0.3406,-315.3832,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,1.4769,-309.9211,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,2.5363,-290.4421,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,3.4484,-209.3018,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,5.0151,-119.6476,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,6.8757,-15.3003,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,5.9725,77.6094,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,3.1929,175.4929,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,1.5088,259.6130,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.5035,0.7033,299.7168,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-0.3965,313.0482,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-1.5273,310.5941,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-2.5774,289.5062,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-3.4891,209.4928,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-5.0182,119.8291,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-6.7787,14.4426,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-5.8563,-78.0476,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-3.1614,-178.2349,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-1.5628,-261.9482,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,-0.7497,-300.4523,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,0.3642,-315.7276,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,1.5034,-309.8022,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,2.5546,-287.9380,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,3.4743,-204.9979,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,5.0641,-116.3484,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,6.8912,-13.5661,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,5.9260,78.7206,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,3.1429,178.2913,NORMAL
2026-04-01,16:53:55.313,228.37,3.6581,138.58,0.0055,4.4984,1.4942,260.5865,NORMAL
2026-04-01,16:53:55.313,228.24,3.6522,138.25,0.0055,4.4984,0.5552,300.6527,NORMAL
