Date,Time,Voltage[V],Current[A],Power[W],Energy[u],Phase[rad],Iwave,Uwave,Event
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5160,6.4462,41.7971,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5160,4.1490,139.0515,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5160,1.9229,218.7143,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5160,1.0037,279.9873,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5160,-0.0155,308.9383,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-1.0058,309.5737,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-2.0921,304.7501,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-3.0253,239.1198,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-4.1922,146.9239,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-6.1099,45.9916,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-6.2613,-40.4199,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-4.0502,-140.5634,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-1.9379,-219.2652,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-1.0361,-279.8903,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-0.0101,-308.8850,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,0.9737,-309.2387,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,2.0576,-303.1161,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,2.9854,-238.0305,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,4.1815,-145.6092,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,6.1691,-45.7505,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,6.3776,39.7563,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,4.0951,138.7729,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,1.9045,220.4578,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,0.9864,282.4601,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5236,-0.0320,306.7534,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-1.0223,308.3154,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-2.1130,305.1852,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-3.0563,239.6175,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-4.2930,147.9568,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-6.3119,44.0289,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-6.4618,-41.4685,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-4.1299,-139.5054,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-1.9252,-220.0884,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,-1.0175,-282.2004,NORMAL
2026-04-10,19:53:59.870,225.07,3.5074,129.85,0.0326,4.5135,0.0088,-308.1557,NORMAL
